Id,Merchant
5,Alza
8,Aria PC
10,Ascent Technology
13,B H
14,Best Buy
16,BT Shop
19,CCL Computers
20,Centre Com
26,Dell
27,Dell Small Business
30,Ebuyer
32,geizhals_unknown
40,Memory Express
43,Mindfactory
45,More Computers
46,Mwave Australia
47,Newegg
50,Newegg Canada
51,Newegg Canada Marketplace
52,Newegg Marketplace
53,Novatech
55,OutletPC
56,Overclockers.co.uk
57,Paradigm PCs
58,PB Technologies
59,PC Componentes
60,PC Force
62,PC World Business
63,PC-Canada
64,PCCaseGear
65,PCM
68,pricespy_unknown
70,Scan.co.uk
71,Scorptec
74,shopRBC
78,SuperBiiz
79,Umart
80,Vuugo
